smiles,Charge_O,Charge_next_O,Charge_o_1,Charge_m_1,Charge_p,Charge_m_2,Charge_o_2
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,-0.801419,0.40108,-0.2465,-0.2063,-0.038249,-0.217688,-0.105367
COc1cc(CN=O)ccc1O,-0.772832,0.37247,-0.240243,-0.210795,-0.008944,-0.2644,0.376225
CC(=O)c1ccccc1O,-0.783285,0.457951,-0.264189,-0.15956,-0.243606,-0.174048,-0.215204
CC(=O)c1ccc(O)cc1,-0.753778,0.430855,-0.295006,-0.153886,-0.150666,-0.181905,-0.257668
OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O,-0.801132,0.401447,-0.246443,-0.206305,-0.037256,-0.217325,-0.10549
O=C(Oc1ccccc1C(=O)O)c1ccccc1O,-0.78599,0.458289,-0.267036,-0.155792,-0.248009,-0.137865,-0.253833
Oc1ccc(C2CCNCC2)cc1F,-0.766065,0.342986,-0.237806,-0.227471,0.043093,-0.277384,0.387039
O=C(O)c1ccccc1O,-0.782931,0.458599,-0.266181,-0.155849,-0.246362,-0.146874,-0.250222
C#CCOc1ccc(C(=O)c2ccc(O)cc2)cc1,-0.75461,0.429707,-0.296476,-0.155349,-0.135716,-0.185919,-0.259562
C=C(C)C(=O)Nc1ccc(O)cc1,-0.76642,0.400385,-0.235623,-0.244603,0.33481,-0.220772,-0.27963
C#CCOc1ccc(C(=O)c2cccc(O)c2)cc1,-0.762861,0.415854,-0.230512,-0.195109,-0.231419,-0.079501,-0.27588
CCOC(=O)CN=C(O)c1cc(Br)ccc1O,-0.794313,0.456947,-0.265732,-0.15083,-0.050318,-0.145641,-0.208638
OC1=Nc2ccccc2N=C(c2cc(Br)ccc2O)C1,-0.789894,0.455898,-0.261336,-0.154045,-0.048462,-0.182187,-0.147018
COc1ccc(C=C2C(=O)c3ccccc3C2=O)cc1O,-0.775889,0.356707,-0.247341,-0.014609,-0.215576,-0.280552,0.398574
OC(CSc1nc2ccccc2s1)=NN=Cc1ccccc1O,-0.79549,0.437791,-0.258806,-0.167115,-0.238994,-0.183734,-0.131665
CCOc1cc(C(O)C(Cl)(Cl)Cl)ccc1O,-0.774195,0.374076,-0.246824,-0.200545,-0.027494,-0.238893,0.375844
CC(=NN=C(O)COc1cccc(C)c1)c1ccccc1O,-0.79729,0.43711,-0.261071,-0.168487,-0.237262,-0.191559,-0.147074
COc1ccc(OCC(O)=NN=C(C)c2ccccc2O)cc1,-0.797551,0.43709,-0.26098,-0.168337,-0.237192,-0.191329,-0.147066
CC(=NN=C(O)COc1cccc(C)c1)c1ccc(O)cc1,-0.756935,0.424186,-0.290345,-0.158892,-0.076152,-0.196099,-0.253288
CC(=NN=C(O)COc1ccccc1Cl)c1ccc(O)cc1,-0.756599,0.424766,-0.290366,-0.158018,-0.077282,-0.195558,-0.253407
O=C(Nc1ccccc1)c1ccc(O)cc1,-0.754443,0.428208,-0.254033,-0.191666,-0.147851,-0.158914,-0.293203
Cc1ccc(C(=O)N2CCOCC2)c(O)c1,-0.791347,0.452589,-0.29723,0.083544,-0.260109,-0.175496,-0.216154
Oc1ccc(Oc2ccccn2)cc1,-0.76452,0.407268,-0.287563,-0.186411,0.384115,-0.216341,-0.246079
O=S(=O)(c1ccc(O)cc1)N1CCOCC1,-0.748977,0.433871,-0.24927,-0.1579,-0.360271,-0.155512,-0.290405
CC1CN(c2ccccc2O)CC(C)O1,-0.781087,0.403419,-0.251421,-0.184091,-0.232002,-0.194564,0.178891
O=C(Nc1ccccc1O)c1cccs1,-0.798634,0.363959,-0.26525,-0.199344,-0.215166,-0.215827,0.305481
Cc1ccc(O)c(NC(=O)c2cccs2)c1,-0.800781,0.356372,-0.258112,-0.230883,0.033525,-0.243903,0.315664
COc1ccc(CN2CCOCC2)cc1O,-0.779394,0.371857,-0.273656,0.002253,-0.218462,-0.252803,0.361254
Oc1ccccc1C1CCNCC1,-0.771145,0.379365,-0.277444,-0.189906,-0.219928,-0.204404,-0.009842
CS(=O)(=O)Nc1ccccc1O,-0.790019,0.430866,-0.249411,-0.179727,-0.228378,-0.208539,0.149118
Oc1cccc(CN2CCCCC2)c1,-0.765362,0.424927,-0.25283,-0.17945,-0.256193,0.020077,-0.300065
OC(=Nc1ccccc1O)C1CCNCC1,-0.779571,0.387938,-0.244999,-0.193592,-0.225861,-0.213509,0.206044
O=C(CCl)Nc1ccc(O)cc1,-0.764384,0.404211,-0.280999,-0.218831,0.330085,-0.242213,-0.236939
OC1=NC(=Nc2ccc(O)cc2)SC1=C1C(O)=Nc2ccccc21,-0.760019,0.414245,-0.252492,-0.18887,0.205563,-0.180984,-0.290427
O=S(=O)(CCl)c1ccc(O)cc1,-0.746867,0.438755,-0.29308,-0.12997,-0.369711,-0.15108,-0.249751
CN(C)CCON=C(C=Cc1ccc(O)cc1)c1ccccc1F,-0.758722,0.41413,-0.246854,-0.192625,0.003371,-0.203031,-0.287693
O=C(O)C(Cc1ccc(O)cc1)N=C(O)OCC(Cl)(Cl)Cl,-0.763318,0.407859,-0.244402,-0.207245,0.007733,-0.182529,-0.288285
OC(=NN=CC1=C(Cl)c2ccccc2CC1)c1ccccc1O,-0.787431,0.431489,-0.259461,-0.164175,-0.239498,-0.155568,-0.196269
