smiles,HOMO
CCCc1cc(N=Nc2ccncc2)ccc1O,-7.549530816
CN(C)c1ccc(N=Nc2ccccn2)c(O)c1,-6.621349962
CN(C)c1ccc(N=O)c(O)c1,-7.335104984
O=C1CC(c2ccc(O)cc2)Oc2ccccc21,-7.747629808
O=C1CC(c2cccc(O)c2)Oc2ccccc21,-7.825454412
COc1ccc(OC(=O)c2ccc(O)cc2)cc1,-7.35252028
O=C(O)C(O)c1ccc(O)cc1,-7.68313879
O=C(O)c1ccc(O)cc1C(=O)O,-8.307368306
CCC(C)OC(=O)c1ccc(O)cc1,-7.907360726
N=C(O)Nc1cccc(O)c1,-7.469257186
CCCCCCCCCCCCOC(=O)c1ccc(O)cc1,-7.901918446
CN(C)c1ccc(N=Nc2ccc(O)cc2)cc1,-6.329643754
CCCCCCCCCOC(=O)c1ccc(O)cc1,-7.90219056
CC(C)CCOC(=O)c1ccc(O)cc1,-7.911170322
CCCCCCOC(=O)c1ccc(O)cc1,-7.903279016
O=Cc1ccc(O)c(C=O)c1,-8.34845752
CCNCC(O)c1cccc(O)c1,-7.425446832
CCCCCCCCCCCCc1ccc(O)c(C)c1,-7.208571974
CCCCN(CCCC)c1cccc(O)c1,-6.388964606
CC(C)(C)c1cc(O)cc(C(C)(C)C)c1C=O,-7.630892902
CC(C)(C)Oc1ccc(O)cc1,-7.297281138
CCCCc1ccc(N=Nc2ccc(O)cc2)cc1,-7.130475256
O=C(O)C(Cc1ccc(O)cc1)N=C(O)c1ccccc1,-7.491842648
CN(C)c1ccc(N=Nc2ccc(Br)cn2)c(O)c1,-6.732644588
O=C(Nc1ccc(Br)cc1)c1ccccc1O,-7.635790954
CCCCc1ccc(N=Cc2ccc(OC)cc2O)cc1,-6.954145384
Cc1cc(N)ccc1O,-6.501891916
Cc1c(N)ccc(O)c1C,-6.496177522
Oc1cccc(Nc2ccccc2)c1,-6.625431672
Nc1ccc(O)cc1F,-6.816999928
COC(=O)c1cc(C=O)ccc1O,-8.134575916
CS(=O)(=O)c1ccc(O)c(N)c1,-8.185461234
COC(=O)CCc1ccc(O)c(OC)c1,-7.001221106
CCCCc1oc2ccccc2c1C(=O)c1ccc(O)cc1,-7.454290916
Nc1ccc(O)c(F)c1,-6.826796032
COc1ccc(O)c(Br)c1,-7.270613966
N#Cc1ccc(Br)cc1O,-8.486963546
Oc1cc(Br)ccc1F,-8.022464948
COC(=O)c1ccc(F)c(O)c1,-8.067091644
Oc1cc(OC(F)(F)F)ccc1Br,-8.186005462
COc1ccc(O)c(F)c1,-7.202313352
Nc1ccc(Cl)c(O)c1,-7.043126662
C=CCOC(=O)c1ccc(O)cc1,-7.945184572
CCC(C)(C)c1ccccc1O,-7.494835902
CCCCc1ccc(C=CC(=O)c2ccc(O)cc2)cc1,-7.553340412
Oc1ccc(C(O)(c2ccccc2)c2ccccc2)cc1,-7.418371868
CCCCN(CCCC)c1ccc(C=O)c(O)c1,-6.916865766
Oc1cc(Cl)c(Br)cc1Cl,-8.082602142
O=CC=Cc1ccc(O)cc1,-7.587354662
CC=CCc1ccc(O)cc1,-7.342724176
Cc1cc(C=CC=O)ccc1O,-7.470617756
C=CCc1cc(O)ccc1OC,-6.904076408
COC(=N)Cc1ccc(O)cc1,-7.710622304
CC(O)C(O)c1cccc(O)c1,-7.780555602
C=CCc1ccc(O)c(Cl)c1,-7.682322448
COc1cc(C)c(C(C)=O)c(O)c1,-7.609940124
C=CCc1cc(C=CC=O)ccc1O,-7.452930346
N#CC(Cc1ccc(O)cc1)NC=O,-7.937293266
CCCc1cc(C=CC=O)ccc1O,-7.474155238
C=CCc1ccc(O)c(CN(C)C)c1,-7.066256352
CCCCCc1cc(C=O)ccc1O,-7.875523388
CC(C)CCc1cc(C=O)ccc1O,-7.871985906
Oc1ccc(CC=Cc2ccccc2)cc1,-7.271702422
COc1cc(C)c(Br)cc1O,-7.21510271
CCCCCc1cc(C=CC=O)ccc1O,-7.468712958
CC(C)CCc1cc(C=CC=O)ccc1O,-7.467080274
CC(C)=CCCC(C)c1ccc(C)cc1O,-7.281498526
CCCCCCCc1cc(C=O)ccc1O,-7.873074362
C=CCc1ccc(O)c(CN(C)CC(=O)O)c1,-7.15387706
Oc1ccc(N=Nc2ccc3nn[nH]c3c2)cc1,-7.428984314
CCCOc1cc(CO)cc(O)c1OCCC,-7.405038282
N=C(Cc1ccc(O)cc1)NCc1ccccc1,-7.614293948
O=C(Cc1ccc(O)cc1)OCc1ccccc1,-7.482862886
C=CCc1cc(OC)c(O)cc1Br,-7.280137956
CCCc1cc(OC)c(O)cc1Br,-7.217279622
COc1cc(CC(C)Br)ccc1O,-7.30353976
C=CCc1ccc(O)c(CN(CCO)CCO)c1,-7.115236872
C=CCc1ccc(O)c(CN(C)CCOCCO)c1,-7.227619954
C=CCc1ccc(O)c(CN(C)CC(OC)OC)c1,-7.011289324
COc1cc(CNC(C)COc2c(C)cccc2C)ccc1O,-7.012922008
COc1cc(O)c(CCC(=O)c2ccccc2)c(OC)c1OC,-6.821625866
CC(=O)NC(Cc1ccc(O)cc1)C(=O)NCC(=O)NCC(N)=O,-7.444766926
COc1cc(CCC(CC(=O)CCc2ccccc2)OC)ccc1O,-7.047208372
CC(=O)NC(Cc1ccc(O)cc1)C(=O)NC(C)C(=O)NC(C)C(N)=O,-7.56612977
CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,-7.285036008
C=CCc1ccc(O)c(OC)c1,-7.062990984
COc1cc(C=C(C#N)C#N)ccc1O,-7.769126814
COc1ccc(O)cc1,-6.978907758
COc1ccc(O)c(C(C)(C)C)c1,-6.897273558
COc1cc(C)ccc1O,-6.999316308
COc1cc(C=O)ccc1O,-7.612661264
COc1cc(C=NO)ccc1O,-7.083943762
